542,BUDGET BUSES (SOUTH SHIELDS)
543,WATSON'S EXECUTIVE TRAVEL
544,LONGSTAFF OF MIRFIELD
545,A LYLES & SON
546,JAGGER COACHES
547,HALIFAX JOINT COMMITTEE
548,RAWLINSON TRAVEL
549,COMPANY COACHES
550,DK TRAVEL
551,SHERWOOD TRAVEL
552,BAYNES TAXIS
553,HOLY ISLAND MINI BUS SERVICE
554,ASTLEY PRIVATE HIRE
555,GILLINGHAM COACHES
556,THE BORDER VILLAGER
557,JSB TRAVEL / S & S TRAVEL
558,FLEET MANAGEMENT & PASSENGER TRANSPORT UNIT
559,ENTERPRISE COACHES
560,ISLE COACHES
561,ROAD RUNNER BUS & COACH
562,CASTLE COACHES (SKIPTON)
563,T M TRAVEL
564,STEVENSONS TRAVEL
565,EUROCAR
566,LOWES COACHES
567,PROCTERS COACHES
568,YESTERYEAR COACHES
569,J R FOSTER
570,CONNEXIONSBUSES
571,P.E.T
572,DREADNOUGHT COACHES
573,TOMMY TRAVEL
574,MORSE COACHES
575,O2 TRAVEL
576,OLYMPIC COACHES
577,TRAVEL WRIGHT
578,SHARPES OF NOTTINGHAM
579,A&A Coach Travel
580,A S COACHES
581,JH COACHES
582,FERRYHILL VILLAGE TRAVEL
583,CAMERONS TRAVEL
584,CT PLUS
585,MASS BRIGHTBUS
586,SENTINEL
587,H J SNAITH
588,CROFT COACH TRAVEL
589,GEM TRAVEL
590,PCL TRAVEL
591,STUDLEY CARRIAGES / EAST COAST TRAVEL
592,SELWYN MOTORS
593,WRIGHTS COACHES
594,G ABBOTT & SONS
595,PAUL'S TRAVEL
596,PERRYMAN'S BUSES
597,J MOTLEY & SON
598,ARRONS TRAVEL
599,STATION COACHES
600,NIGHTINGALE COACHES
601,CALDERDALE COUNCIL TRANSPORT SERVICES
602,STRINGERS PONTEFRACT MOTORWAYS
603,AOT COACHES
604,S B TRAVEL
605,BASSI TRAVEL
606,STREAMLINE
607,JOHNSON BROS TOURS
608,STANLEY TRAVEL
609,NORTH EAST BUS & COACH SALES
610,SCARLET BAND
611,ATKINSON COACHES
612,TONYS TAXIS
613,FRANK POPPLETON AND COMPANY
614,LEEDS CITY TRAVEL
615,PETER HODGSON TRAVEL
616,TRAVELSURE
617,SHAUNS MINI BUSES
618,HOLY ISLAND BUS SERVICE
619,FLETCHERS COACHES
620,YORKSHIRE DAY TOURS
621,ROSS TRAVEL GROUP
622,HENRY COOPER
623,BEESTONS COACHES
624,CEDRIC COACHES INTERNATIONAL
625,HEDINGHAM OMNIBUSES
626,FARELINE COACH SERVICES/FARELINE BUSES
627,C G MYALL & SON
628,STANS COACHES
629,BELLE COACHES
